Iteration	Posterior	Likelihood	Prior	branch_rates	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	freq[1]	freq[2]	freq[3]	freq[4]	root_age	speciation_rate
5200	-13961.11	-13858.4	-102.7079	0.07458102	0.166436	0.194642	0.274005	0.115972	0.0916421	0.157303	0.003195096	0.247672	0.246465	0.246783	0.259079	36.60856	0.03402366
5250	-13954.25	-13856.33	-97.91324	0.07458102	0.158078	0.109726	0.235454	0.195998	0.136685	0.164058	0.002085349	0.246326	0.246906	0.247225	0.259543	34.30472	0.03956278
5300	-13955.73	-13853.52	-102.2175	0.07458102	0.208086	0.160883	0.152885	0.164051	0.19295	0.121144	0.006480748	0.246326	0.246906	0.247225	0.259543	37.06913	0.04338199
5350	-13964.17	-13862.58	-101.5971	0.07458102	0.218386	0.149969	0.165931	0.196387	0.120834	0.148492	0.002554845	0.246724	0.24999	0.238655	0.264632	37.08372	0.03237154
5400	-13951.03	-13852.21	-98.81674	0.07458102	0.174233	0.177869	0.200207	0.140237	0.144535	0.162919	0.007860368	0.242537	0.250413	0.243988	0.263062	34.90765	0.05191814
5450	-13945.76	-13848.02	-97.74239	0.07458102	0.194073	0.156769	0.199789	0.119849	0.146826	0.182694	0.004442199	0.246688	0.249117	0.249678	0.254517	35.11832	0.04196748
5500	-13962.04	-13860.16	-101.8792	0.07458102	0.071184	0.16121	0.316619	0.137207	0.184896	0.128884	0.006746311	0.250454	0.247047	0.247603	0.254896	34.68061	0.0376343
5550	-13965.98	-13863.19	-102.7901	0.07458102	0.131373	0.0944544	0.215446	0.253208	0.134117	0.171401	0.006035034	0.248144	0.238076	0.25252	0.261259	35.55984	0.02653243
5600	-13967.8	-13866.64	-101.1554	0.07458102	0.133538	0.150248	0.272837	0.211014	0.137646	0.0947167	0.001363268	0.242459	0.247588	0.261189	0.248764	37.27586	0.03427648
5650	-13949.74	-13852.94	-96.8061	0.07458102	0.223521	0.116337	0.17625	0.184425	0.144158	0.15531	0.008708027	0.245543	0.249122	0.252305	0.25303	32.19889	0.04206005
5700	-13947.08	-13851.45	-95.62542	0.07458102	0.157746	0.147539	0.232691	0.153111	0.150233	0.158681	0.00965402	0.246095	0.248988	0.249697	0.25522	30.91852	0.04488037
5750	-13953.75	-13853.49	-100.2604	0.07458102	0.151251	0.157278	0.19923	0.162072	0.171948	0.15822	0.0004400109	0.24524	0.248124	0.244497	0.262139	35.99535	0.03096804
5800	-13963.6	-13855.49	-108.1062	0.07458102	0.173385	0.156817	0.280083	0.141899	0.131942	0.115874	0.003448113	0.238662	0.244312	0.253713	0.263314	41.01223	0.03143739
5850	-13961.4	-13858.12	-103.2855	0.07458102	0.144604	0.118111	0.199323	0.264183	0.191188	0.0825894	0.01240259	0.250182	0.250602	0.245138	0.254078	36.62564	0.03939145
5900	-13957.67	-13856.52	-101.1473	0.07458102	0.218495	0.0498045	0.23115	0.206689	0.102579	0.191281	0.002480846	0.238753	0.260472	0.248857	0.251918	34.42047	0.05049127
5950	-13955.88	-13854.47	-101.4164	0.07458102	0.233767	0.157603	0.24704	0.121852	0.100851	0.138886	0.01005323	0.244887	0.256684	0.24322	0.255209	36.80975	0.03900086
6000	-13959.38	-13857.69	-101.6836	0.07458102	0.181218	0.145683	0.170096	0.147804	0.159448	0.195751	0.0142782	0.243363	0.242653	0.258605	0.255379	34.80362	0.07299845
6050	-13957.76	-13858.92	-98.83517	0.07458102	0.227011	0.149469	0.203031	0.192146	0.0646994	0.163644	0.001675912	0.250191	0.249461	0.237804	0.262543	34.35166	0.04564296
6100	-13954.95	-13855.94	-99.01102	0.07458102	0.148715	0.166664	0.230133	0.177746	0.156315	0.120427	0.0172352	0.250235	0.241634	0.247218	0.260914	30.92662	0.034617
6150	-13953.2	-13856.55	-96.64552	0.07458102	0.154115	0.154509	0.215005	0.19664	0.130857	0.148874	0.0008349558	0.247881	0.249763	0.244005	0.258351	32.56606	0.03818614
6200	-13951.94	-13852.74	-99.19789	0.07458102	0.173761	0.152631	0.197171	0.134616	0.155309	0.186511	0.01776283	0.249191	0.242666	0.255689	0.252454	34.87204	0.05330397
6250	-13951.23	-13852.82	-98.40554	0.07458102	0.197113	0.130744	0.237954	0.167254	0.127114	0.139821	0.0001393069	0.253744	0.242366	0.253968	0.249922	30.23322	0.02036636
6300	-13956.78	-13859.25	-97.53312	0.07458102	0.176962	0.181612	0.115831	0.151993	0.160201	0.2134	0.0006959613	0.246845	0.244801	0.246381	0.261973	33.51697	0.04169506
6350	-13946.5	-13848.65	-97.84761	0.07458102	0.158836	0.165811	0.191679	0.176716	0.158046	0.148913	0.0009020388	0.246683	0.245779	0.25286	0.254677	32.37748	0.05248378
6400	-13952.15	-13853.22	-98.93568	0.07458102	0.153895	0.207545	0.165637	0.175108	0.149819	0.147995	0.003546215	0.247453	0.246546	0.24764	0.258361	33.30881	0.05160143
6450	-13954.1	-13854.13	-99.96992	0.07458102	0.137421	0.178679	0.180466	0.13987	0.176408	0.187157	0.01834845	0.247059	0.248304	0.250717	0.25392	33.1389	0.04151824
6500	-13947.98	-13850.79	-97.19154	0.07458102	0.202167	0.149097	0.200986	0.162673	0.124597	0.16048	0.002493397	0.244094	0.250242	0.253039	0.252624	31.83515	0.04090111
6550	-13957.78	-13853.9	-103.8761	0.07458102	0.0842804	0.163483	0.200202	0.164454	0.210046	0.177533	0.008023953	0.245757	0.251946	0.247953	0.254344	37.49786	0.03416812
6600	-13954.15	-13851.87	-102.2753	0.07458102	0.187885	0.133169	0.197074	0.141274	0.174858	0.16574	0.008301212	0.241933	0.248026	0.24746	0.262581	35.10035	0.05417434
6650	-13949.85	-13852	-97.84971	0.07458102	0.172766	0.201659	0.163366	0.142061	0.152589	0.167559	0.0008361671	0.242409	0.248514	0.247947	0.26113	33.72376	0.04958039
6700	-13957.28	-13855.73	-101.5556	0.07458102	0.121428	0.139872	0.207599	0.264698	0.177625	0.0887779	0.008965408	0.240896	0.246909	0.252694	0.2595	35.27059	0.03016447
6750	-13954.37	-13856.1	-98.27564	0.07458102	0.107618	0.197346	0.200046	0.236119	0.136393	0.122477	0.0004777602	0.240501	0.252815	0.246473	0.260211	34.14793	0.04429216
6800	-13961.02	-13860.25	-100.7745	0.07458102	0.1991	0.117212	0.133307	0.204018	0.114979	0.231384	0.006241157	0.247855	0.241089	0.249886	0.26117	35.26044	0.03500615
